Iteration,Out Of Box,Front Area,Gross Volume,Net Volume,Deflation Factor,Start time,Finish Time
1,0,0.13078012144407405,0.32018792676853286,0.3923403643322222,0.8160973376101757,2020-07-10 21:13:52.526487,2020-07-10 21:13:52.560741
2,0,0.11383087373391554,0.3201879267685328,0.3414926212017466,0.937613016766686,2020-07-10 21:13:52.560777,2020-07-10 21:13:52.597586
3,0,0.13151420897707017,0.3201879267685329,0.3945426269312105,0.811542036050666,2020-07-10 21:13:52.597704,2020-07-10 21:13:52.633408
4,0,0.13527798638713937,0.32018792676853286,0.40583395916141807,0.7889628739550107,2020-07-10 21:13:52.633486,2020-07-10 21:13:52.664945
5,0,0.12978312299327643,0.32018792676853286,0.3893493689798293,0.8223666256541964,2020-07-10 21:13:52.665070,2020-07-10 21:13:52.696434
6,0,0.13680657692442863,0.3201879267685328,0.41041973077328586,0.7801474996469,2020-07-10 21:13:52.696527,2020-07-10 21:13:52.746150
7,0,0.14999784000599842,0.3201879267685328,0.44999352001799525,0.7115389722850419,2020-07-10 21:13:52.746192,2020-07-10 21:13:52.790860
8,0,0.13612733147171094,0.32018792676853286,0.4083819944151328,0.7840402641333203,2020-07-10 21:13:52.790917,2020-07-10 21:13:52.833918
9,0,0.12626434437386155,0.3201879267685329,0.37879303312158463,0.8452846245082847,2020-07-10 21:13:52.834050,2020-07-10 21:13:52.878061
10,0,0.1313882194919903,0.3201879267685329,0.39416465847597093,0.8123202318709459,2020-07-10 21:13:52.878167,2020-07-10 21:13:52.908661
