Iteration,Out Of Box,Dislocated(any),Dislocated(position),Dislocated(angle),Front Area,Gross Volume,Net Volume,Deflation Factor,Duation (sec.),Waiting Loops,Duration (tics)
1,0,5,0,5,4.5293098592221375,13.587929577666412,10.659046919288139,0.7844496733930469,7.320417,0,400
2,0,2,0,2,4.49437706671458,13.483131200143738,10.65904691928814,0.7905468515484377,11.02937,2,500
3,0,2,0,2,4.431818800027923,13.295456400083769,10.659046919288148,0.8017059812419068,9.130603,1,450
4,0,3,0,3,4.480734984503761,13.442204953511283,10.65904691928814,0.7929537569283867,8.711415,1,450
5,0,1,0,1,4.403523067744146,13.210569203232438,10.659046919288144,0.8068575059339629,7.203949,0,400
6,0,2,0,2,4.503844121333962,13.511532364001887,10.65904691928814,0.7888851265816834,8.962373,1,450
7,0,7,0,7,4.492191396588976,13.476574189766929,10.659046919288148,0.7909314911338378,10.906184,1,450
8,0,2,0,2,4.5444005590756005,13.6332016772268,10.65904691928814,0.7818447325614823,10.694864,2,500
9,0,9,0,9,4.486290253985223,13.45887076195567,10.659046919288144,0.7919718606272811,10.133216,1,450
10,0,4,0,4,4.516102580586596,13.548307741759787,10.65904691928814,0.7867437854569754,11.650761,1,450
